id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email;lastOrderDate
1;Maria Sophia Montenegro;47.125.906/0001-04;M;1992-11-06;1;ERDH1885;True;2024-12-09T23:48:35;cauafreitas;2024-07-24T11:43:44;siqueirasofia;2024-07-24T11:43:44;siqueirasofia;8005281653;maria58@bol.com.br;2025-11-26T09:52:58
2;Raquel Câmara;378.095.162-21;F;1989-11-09;2;;True;2025-03-24T04:00:03;luna63;2025-01-21T19:06:52;claricebarbosa;2025-01-21T19:06:52;claricebarbosa;4103167927;raquel24@uol.com.br;
3;Leonardo Andrade;48.650.173/0001-81;F;1952-09-14;1;WQXN0759;True;2025-03-03T16:04:30;carvalhoenzo;2025-02-25T19:58:37;wvargas;2025-02-25T19:58:37;wvargas;3179127780;leonardo56@yahoo.com.br;2025-11-14T11:12:40
4;Paulo Santos;290.165.873-30;M;1982-04-03;1;;False;;;2025-03-22T06:08:12;wmontenegro;2025-03-22T06:08:12;wmontenegro;558182848088;paulo90@gmail.com;2025-06-27T11:47:58
5;Kamilly Jesus;681.293.507-77;F;1969-08-24;1;;False;;;2025-02-03T12:56:41;correiasamuel;2025-02-03T12:56:41;correiasamuel;5506193578805;kamilly34@bol.com.br;2025-11-15T13:59:58
6;Arthur Gabriel da Costa;950.184.273-88;M;1952-07-16;2;;True;2025-11-22T23:30:26;novaesvitoria;2025-09-19T10:47:06;joaquim35;2025-09-19T10:47:06;joaquim35;552129584953;arthur79@hotmail.com;
7;Isadora Andrade;893.064.215-24;;2002-02-13;2;;False;;;2025-11-11T20:59:58;ryanfreitas;2025-11-11T20:59:58;ryanfreitas;5502117546451;isadora38@bol.com.br;
8;Sophia Peixoto;720.395.481-14;F;1967-03-15;1;;False;;;2025-03-26T14:15:46;henrique86;2025-03-26T14:15:46;henrique86;8440637107;sophia10@ig.com.br;2025-11-04T21:28:23
9;Carlos Eduardo da Paz;234.910.785-04;M;1956-07-18;1;;False;;;2024-12-09T20:16:26;aylaoliveira;2024-12-09T20:16:26;aylaoliveira;552113491745;carlos66@bol.com.br;2025-10-19T08:06:10
10;João Gabriel da Conceição;962.138.574-19;M;1962-07-10;1;;False;;;2025-01-27T15:51:36;jose-miguel66;2025-01-27T15:51:36;jose-miguel66;3151905413;joão7@hotmail.com;2025-10-08T19:32:21
11;Mariana Vasconcelos;74.681.925/0001-81;F;1959-09-09;2;;False;;;2025-10-25T02:48:39;ravyguerra;2025-10-25T02:48:39;ravyguerra;558479463913;mariana9@bol.com.br;
12;Davi Luiz Gonçalves;813.052.476-71;F;1976-08-01;1;VCPG4838;True;2025-02-24T04:16:40;oliveiramaria-laura;2024-12-22T02:15:18;carvalholucas;2024-12-22T02:15:18;carvalholucas;552100336332;davi95@hotmail.com;2025-10-27T16:08:56
13;Lorenzo Fogaça;932.801.457-32;F;1986-05-22;2;KGKD8107;False;;;2024-07-19T17:13:23;foliveira;2024-07-19T17:13:23;foliveira;7108793610;lorenzo68@uol.com.br;2025-05-27T19:48:53
14;Leonardo Macedo;703.284.619-03;F;1988-06-16;2;;True;2025-07-19T18:27:41;leandroalves;2025-06-18T00:00:13;bcaldeira;2025-06-18T00:00:13;bcaldeira;3003057923;leonardo9@bol.com.br;
15;Alexandre Caldeira;319.752.684-82;F;2006-07-11;1;;True;2025-10-23T11:18:13;rafaela88;2025-05-16T02:31:00;beniciomelo;2025-05-16T02:31:00;beniciomelo;5508400004715;alexandre18@uol.com.br;2025-10-26T13:06:54
16;Dante Gomes;429.650.381-24;M;2007-01-05;1;;False;;;2025-04-21T04:13:27;ucaldeira;2025-04-21T04:13:27;ucaldeira;8437605394;dante97@gmail.com;2025-10-28T19:51:33
17;Vinícius Ribeiro;460.172.839-87;M;1995-01-19;2;PWXU4572;True;2025-10-27T15:06:59;das-nevesjose;2025-10-03T12:12:33;camposbreno;2025-10-03T12:12:33;camposbreno;9002719528;vinícius29@gmail.com;
18;Sr. Guilherme Pacheco;04.328.751/0001-92;F;1996-10-19;1;KKZK1965;True;2024-12-29T03:34:34;brenosouza;2024-12-01T08:52:57;cardosojoao-vitor;2024-12-01T08:52:57;cardosojoao-vitor;2163582526;sr.69@gmail.com;2025-11-21T19:45:20
19;Ana Sophia Mendes;971.840.356-66;M;1954-06-23;1;;True;2025-03-04T18:02:27;azevedocaio;2025-01-15T10:16:14;pereirafelipe;2025-01-15T10:16:14;pereirafelipe;5508123054356;ana19@ig.com.br;2025-08-30T11:52:09
20;Ester Nogueira;059.732.641-06;M;1997-08-21;1;WTFJ3978;False;;;2025-08-07T05:32:44;salesbryan;2025-08-07T05:32:44;salesbryan;558477378282;ester76@ig.com.br;2025-08-25T09:15:51
21;Eloá Macedo;451.938.276-91;F;1992-09-18;1;KOLK6820;True;2025-06-08T17:15:44;xsales;2025-05-07T11:52:27;isabelly54;2025-05-07T11:52:27;isabelly54;1169253416;eloá2@hotmail.com;2025-08-05T11:19:16
22;Mariane Andrade;359.248.706-00;F;2004-10-08;1;;True;2025-04-13T18:12:01;vda-mota;2025-03-09T22:02:13;enricoduarte;2025-03-09T22:02:13;enricoduarte;6182326020;mariane4@gmail.com;2025-10-15T21:58:39
23;Ravy Caldeira;09.215.486/0001-50;M;1988-12-15;2;MAFG0939;False;;;2024-10-09T14:20:47;montenegrobryan;2024-10-09T14:20:47;montenegrobryan;5199057716;ravy32@ig.com.br;2025-05-24T19:08:56
24;Pedro Marques;750.643.189-01;M;1968-04-17;1;;True;2025-10-29T16:42:32;knovaes;2025-10-17T01:54:03;antonioguerra;2025-10-17T01:54:03;antonioguerra;5505150226303;pedro69@uol.com.br;2025-10-29T13:11:50
25;Srta. Beatriz Santos;170.453.962-52;F;1988-11-27;1;PMLL2342;True;2025-04-06T22:52:04;ravi-lucca49;2025-03-11T15:32:34;luanavasconcelos;2025-03-11T15:32:34;luanavasconcelos;3002595330;srta.4@bol.com.br;2025-11-08T23:31:54
26;Melina Souza;763.529.184-09;F;1983-10-13;1;;False;;;2024-07-30T21:00:36;vicentemacedo;2024-07-30T21:00:36;vicentemacedo;2100885263;melina84@ig.com.br;2025-10-14T13:46:38
27;Brenda Macedo;09.538.164/0001-41;M;1974-07-18;2;SKTY8480;True;2025-07-01T19:02:20;silveiravitor-hugo;2024-03-21T02:11:29;joao-felipeandrade;2024-03-21T02:11:29;joao-felipeandrade;7120215255;brenda49@ig.com.br;2024-12-18T19:18:29
28;Vicente Cavalcanti;397.045.618-57;M;1984-12-18;2;;False;;;2025-06-23T22:24:31;antonellamoraes;2025-06-23T22:24:31;antonellamoraes;557141070336;vicente64@gmail.com;
29;Daniela Pacheco;928.571.460-94;F;1982-11-17;1;;False;;;2025-09-08T17:39:52;jguerra;2025-09-08T17:39:52;jguerra;3122254452;daniela56@bol.com.br;2025-10-06T10:08:23
30;Ana Sales;495.823.167-64;M;1995-01-14;1;NMNT5861;True;2025-01-27T15:31:03;onovais;2024-01-05T14:42:12;rteixeira;2024-01-05T14:42:12;rteixeira;558182165228;ana8@uol.com.br;2025-09-16T19:19:17
31;Nicole Cavalcante;962.315.748-73;M;1958-07-22;2;;False;;;2025-07-09T20:58:09;bernardo00;2025-07-09T20:58:09;bernardo00;5505145981639;nicole30@uol.com.br;
32;Dante Freitas;068.735.214-26;F;1962-01-30;1;;False;;;2024-01-31T16:20:22;alicepimenta;2024-01-31T16:20:22;alicepimenta;552141777094;dante73@ig.com.br;2025-11-26T13:01:18
33;Pedro Lucas Barros;217.085.364-26;F;1974-08-03;2;CMAA4547;True;2025-11-21T19:12:55;danilo36;2025-11-18T11:51:57;caroline16;2025-11-18T11:51:57;caroline16;5197168065;pedro96@yahoo.com.br;
34;João Dias;95.634.187/0001-91;F;1958-11-14;2;LNSV5761;True;2025-04-30T18:08:56;isilveira;2025-01-05T13:16:44;davi-lucca44;2025-01-05T13:16:44;davi-lucca44;5505192403194;joão46@bol.com.br;2025-04-14T16:38:20
35;Maria Luiza Vargas;641.705.329-61;F;2007-01-24;1;;True;2025-07-03T03:01:00;ualves;2025-04-03T22:46:18;asafe55;2025-04-03T22:46:18;asafe55;5133582134;maria52@uol.com.br;2025-10-27T12:45:58
36;Antonella Almeida;093.487.651-75;F;1974-09-14;2;CGTS1890;False;;;2025-11-27T23:33:17;luiz-fernando78;2025-11-27T23:33:17;luiz-fernando78;9002273355;antonella43@yahoo.com.br;
37;Maria Helena da Conceição;74.819.305/0001-66;F;1967-08-12;1;LFVQ3783;False;;;2025-04-30T18:22:09;arthur-miguel93;2025-04-30T18:22:09;arthur-miguel93;5184236070;maria20@ig.com.br;2025-10-04T15:07:54
38;Nicole Oliveira;256.047.138-80;F;1991-02-13;2;EGMZ6821;True;2025-11-14T15:12:30;palmeida;2025-11-03T00:34:52;moreirapietro;2025-11-03T00:34:52;moreirapietro;5508134158532;nicole58@uol.com.br;
39;Arthur Gabriel Cirino;47.159.630/0001-77;M;1973-03-31;1;XBWG3609;True;2025-03-25T14:58:04;machadomaria-clara;2025-02-09T10:23:16;souzamiguel;2025-02-09T10:23:16;souzamiguel;5507147627994;arthur67@uol.com.br;2025-11-13T13:06:39
40;Leonardo Brito;580.269.374-65;F;1949-11-26;1;;False;;;2025-03-14T09:01:48;lsiqueira;2025-03-14T09:01:48;lsiqueira;6155649450;leonardo29@gmail.com;2025-09-14T20:52:29
41;Camila da Costa;401.756.238-80;O;1962-12-13;1;;False;;;2024-04-28T22:24:16;xpastor;2024-04-28T22:24:16;xpastor;5506177431995;camila22@ig.com.br;2025-08-23T14:20:46
42;Cauã Castro;753.908.461-84;M;1967-10-11;2;QMCH7214;True;2025-11-13T08:21:40;castromaria-clara;2025-10-17T05:44:09;isiscassiano;2025-10-17T05:44:09;isiscassiano;2114875310;cauã23@hotmail.com;
43;João Vitor da Mota;368.504.712-44;F;1953-09-01;1;;False;;;2024-08-14T13:49:21;vicentecarvalho;2024-08-14T13:49:21;vicentecarvalho;7195045208;joão19@bol.com.br;2025-11-25T11:35:48
44;Emanuel Fonseca;187.429.306-69;O;1994-05-06;2;;True;2025-07-14T12:03:45;isabela42;2025-03-14T10:29:38;luiz-gustavoda-mota;2025-03-14T10:29:38;luiz-gustavoda-mota;3167781319;emanuel18@yahoo.com.br;2025-04-24T21:16:34
45;Josué Machado;345.628.790-92;M;1998-08-22;2;;True;2025-11-17T15:01:30;otavio16;2025-11-14T12:18:37;davi-lucas70;2025-11-14T12:18:37;davi-lucas70;551112838431;josué64@ig.com.br;
46;Melina Cavalcanti;568.279.314-55;F;1953-04-30;2;JNXH5344;False;;;2025-10-03T15:10:24;maria-luisarodrigues;2025-10-03T15:10:24;maria-luisarodrigues;7183530489;melina54@bol.com.br;
47;Manuela Rodrigues;670.245.981-58;F;1967-04-09;1;;True;2025-11-08T11:32:03;alopes;2025-02-11T12:01:17;cassianojuan;2025-02-11T12:01:17;cassianojuan;5150840526;manuela71@bol.com.br;2025-06-26T13:37:23
48;Joaquim Souza;305.267.148-08;O;1969-07-25;2;UTHD4649;False;;;2025-05-23T23:23:50;bryanbarros;2025-05-23T23:23:50;bryanbarros;3008522899;joaquim2@ig.com.br;
